LAT,LON
35.21389,-80.943054
41.978611,-87.904724
32.116112,-110.941109
34.903271,-108.514519
42.907768,-77.31897
35.436077,-82.541298
32.848152,-96.851349
40.822773,-72.748634
27.979168,-82.539337
63.035789,-163.527863
40.199387,-112.937469
30.781055,-86.524994
33.656384,-101.821861
32.886677,-94.599251
43.128002,-77.665474
38.592724,-77.711441
32.73177,-117.197624
35.053238,-80.409195
36.131687,-86.668823
29.384344,-98.618645
47.443546,-122.301659
35.805813,-83.989815
60.567402,-151.246719
33.420696,-82.152374
37.363949,-121.92894
33.640411,-84.419853
35.6175,-106.088333
45.719906,-87.09407
39.053276,-84.663017
32.732346,-117.196053
33.457439,-111.727386
33.678925,-117.862869
37.615223,-122.389977
32.015644,-81.143127
33.942791,-118.410042
36.213257,-115.194572
44.871201,-73.286491
36.08601,-115.153969
39.849312,-104.673828
42.915703,-112.59304
33.257923,-116.321014
35.748463,-95.412529
63.889515,-160.799927
36.264206,-93.154961
37.030792,-113.508987
42.94989,-87.900414
42.366978,-71.022362
40.032608,-74.338257
35.040031,-89.981873
37.225136,-89.569305
